S/N,Flt Date /Flt No,localBulk Wt,localBulk WtSpl,localBUP Wt,localTotal,transBulk Wt,transBulk WtSpl,transBUP Wt,transTotal,interBulk Wt,interBulk WtSpl,interBUP Wt,tarmacBulk Wt,tarmacBulk WtSpl,tarmacBUP Wt,ectBulk Wt,ectBulk WtSpl,ectBUP Wt,ectTotal Ton,SL Wt,SP Wt,Total Ton
1 ,01OCT23 / EY925,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
2 ,01OCT23 / EY937,"40,848.6 ","1,208.6 ",0.0 ,"40,848.6 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"40,848.6 ",0.0 ,0.9 ,"40,849.5 "
3 ,01OCT23 / EY9857,"18,691.1 ","3,009.1 ",0.0 ,"18,691.1 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"18,691.1 ",0.0 ,0.0 ,"18,691.1 "
4 ,02OCT23 / EY925,"10,015.0 ",65.0 ,690.0 ,"10,705.0 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"10,705.0 ",0.0 ,0.0 ,"10,705.0 "
5 ,02OCT23 / EY947,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
6 ,03OCT23 / EY925,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
7 ,04OCT23 / EY925,"35,437.4 ","1,740.5 ",0.0 ,"35,437.4 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"35,437.4 ",0.0 ,0.0 ,"35,437.4 "
8 ,05OCT23 / EY937,"2,035.0 ",0.0 ,0.0 ,"2,035.0 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"2,035.0 ",0.0 ,0.0 ,"2,035.0 "
9 ,05OCT23 / EY9857,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
10 ,06OCT23 / EY925,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 
11 ,07OCT23 / EY937,"7,813.6 ",418.6 ,0.0 ,"7,813.6 ",0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,0.0 ,"7,813.6 ",0.0 ,0.0 ,"7,813.6 "
